AME	3106	 AMETEK INC NEW
AMED	2063	 AMEDISYS INC
AMFW	-1	 -10
AMG	1031	 AFFILIATED MANAGERS GROUP IN
AMGN	2063	 AMGEN INC
AMGP	-1	 -10
AMH	1042	 AMERICAN HOMES 4 RENT
AMH_C	-1	 -10
AMH_D	-1	 -10
AMH_E	-1	 -10
AMH_F	-1	 -10
AMH_G	-1	 -10
AMID	3094	 AMERICAN MIDSTREAM PARTNERS LP
AMKR	3116	 AMKOR TECHNOLOGY INC
AMLX	-1	 -10
AMMA	-1	 -10
AMN	2063	 AMN HEALTHCARE SERVICES
AMNB	1032	 AMERICAN NATIONAL BANKSHARES INC
AMOT	3116	 ALLIED MOTION TECHNOLOGIES INC
AMOV	3084	 AMERICA MOVIL SA DE CV
AMP	1031	 AMERIPRISE FINANCIAL  INC. COM STK
AMPE	2063	 AMPIO PHARMACEUTICALS INC
AMPH	2063	 AMPHASTAR PHARMACEUTICALS INC
AMRB	1032	 AMERICAN RIVER BANKSHARES
AMRC	3105	 AMERESCO INC
AMRK	1032	 A-MARK PRECIOUS METALS INC
AMRN	2063	 AMARIN CORP PLC
AMRS	1010	 AMYRIS INC
AMS	2063	 AMERICAN SHARED HOSPITAL
AMSC	3116	 AMERICAN SUPERCONDUCTOR CORP
AMSF	1032	 AMERISAFE INC
AMSWA	-1	 -10
AMT	3084	 AMERICAN TOWER REIT INC
AMT_B	-1	 -10
AMTD	1032	 TD AMERITRADE HOLDING CORP
AMTX	1010	 AEMETIS INC
AMWD	1021	 AMERICAN WOODMARK CORP
AMX	3084	 AMERICA MOVIL ADS (REP 20-L)
AMZA	-1	 INFRACAP MLP ETF
AMZN	1021	 AMAZON.COM INC
AN	1020	 AUTONATION INC
ANAB	2063	 ANAPTYSBIO INC
ANAT	1032	 AMERICAN NATIONAL INSURANCE
ANCB	1032	 ANCHOR BANCORP
ANCX	1032	 ACCESS NATIONAL CORP
ANDA	-1	 -10
ANDAR	-1	 -10
ANDAU	-1	 -10
ANDAW	-1	 -10
ANDE	2053	 ANDERSONS INC/THE
ANDV	3095	 ANDEAVOR
ANDX	3094	 ANDEAVOR LOGISTICS LP
ANET	3116	 ARISTA NETWORKS INC
ANF	1021	 ABERCROMBIE & FITCH CO CL-A
ANFI	2053	 AMIRA NATURE FOODS LTD
ANGI	3116	 ANGI HOMESERVICES INC-A
ANGO	2064	 ANGIODYNAMICS INC
ANH	1042	 ANWORTH MRTG ASSET CORP
